Players: Player vs AI
Difficulty: Easy
Result: win
Move:rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w:a2a4
Move:rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b:d7d5
Move:rnbqkbnr/ppp1pppp/8/3p4/P7/8/1PPPPPPP/RNBQKBNR w:a4a5
Move:rnbqkbnr/ppp1pppp/8/P2p4/8/8/1PPPPPPP/RNBQKBNR b:g7g5
Move:rnbqkbnr/ppp1pp1p/8/P2p2p1/8/8/1PPPPPPP/RNBQKBNR w:a5a6
Move:rnbqkbnr/ppp1pp1p/P7/3p2p1/8/8/1PPPPPPP/RNBQKBNR b:f8g7
Move:rnbqk1nr/ppp1ppbp/P7/3p2p1/8/8/1PPPPPPP/RNBQKBNR w:a6b7
Move:rnbqk1nr/pPp1ppbp/8/3p2p1/8/8/1PPPPPPP/RNBQKBNR b:h7h5
Move:rnbqk1nr/pPp1ppb1/8/3p2pp/8/8/1PPPPPPP/RNBQKBNR w:b7a8
Move:Qnbqk1nr/p1p1ppb1/8/3p2pp/8/8/1PPPPPPP/RNBQKBNR b:a7a5
Move:Qnbqk1nr/2p1ppb1/8/p2p2pp/8/8/1PPPPPPP/RNBQKBNR w:b2b4
Move:Qnbqk1nr/2p1ppb1/8/p2p2pp/1P6/8/2PPPPPP/RNBQKBNR b:g7c3
Move:Qnbqk1nr/2p1pp2/8/p2p2pp/1P6/2b5/2PPPPPP/RNBQKBNR w:d2c3
Move:Qnbqk1nr/2p1pp2/8/p2p2pp/1P6/2P5/2P1PPPP/RNBQKBNR b:c8d7
Move:Qn1qk1nr/2pbpp2/8/p2p2pp/1P6/2P5/2P1PPPP/RNBQKBNR w:b4a5
Move:Qn1qk1nr/2pbpp2/8/P2p2pp/8/2P5/2P1PPPP/RNBQKBNR b:d7g4
Move:Qn1qk1nr/2p1pp2/8/P2p2pp/6b1/2P5/2P1PPPP/RNBQKBNR w:a5a6
Move:Qn1qk1nr/2p1pp2/P7/3p2pp/6b1/2P5/2P1PPPP/RNBQKBNR b:d5d4
Move:Qn1qk1nr/2p1pp2/P7/6pp/3p2b1/2P5/2P1PPPP/RNBQKBNR w:a6a7
Move:Qn1qk1nr/P1p1pp2/8/6pp/3p2b1/2P5/2P1PPPP/RNBQKBNR b:e7e6
Move:Qn1qk1nr/P1p2p2/4p3/6pp/3p2b1/2P5/2P1PPPP/RNBQKBNR w:a8b8
Move:1Q1qk1nr/P1p2p2/4p3/6pp/3p2b1/2P5/2P1PPPP/RNBQKBNR b:f7f6
Move:1Q1qk1nr/P1p5/4pp2/6pp/3p2b1/2P5/2P1PPPP/RNBQKBNR w:a7a8
Move:QQ1qk1nr/2p5/4pp2/6pp/3p2b1/2P5/2P1PPPP/RNBQKBNR b:d8b8
Move:Qq2k1nr/2p5/4pp2/6pp/3p2b1/2P5/2P1PPPP/RNBQKBNR w:a8b8
Move:1Q2k1nr/2p5/4pp2/6pp/3p2b1/2P5/2P1PPPP/RNBQKBNR b:e8d7
Move:1Q4nr/2pk4/4pp2/6pp/3p2b1/2P5/2P1PPPP/RNBQKBNR w:d1d4
Move:1Q4nr/2pk4/4pp2/6pp/3Q2b1/2P5/2P1PPPP/RNB1KBNR b:d7c6
Move:1Q4nr/2p5/2k1pp2/6pp/3Q2b1/2P5/2P1PPPP/RNB1KBNR w:h2h4
Move:1Q4nr/2p5/2k1pp2/6pp/3Q2bP/2P5/2P1PPP1/RNB1KBNR b:f6f5
Move:1Q4nr/2p5/2k1p3/5ppp/3Q2bP/2P5/2P1PPP1/RNB1KBNR w:h4g5
Move:1Q4nr/2p5/2k1p3/5pPp/3Q2b1/2P5/2P1PPP1/RNB1KBNR b:g8f6
Move:1Q5r/2p5/2k1pn2/5pPp/3Q2b1/2P5/2P1PPP1/RNB1KBNR w:g5g6
Move:1Q5r/2p5/2k1pnP1/5p1p/3Q2b1/2P5/2P1PPP1/RNB1KBNR b:f6d7
Move:1Q5r/2pn4/2k1p1P1/5p1p/3Q2b1/2P5/2P1PPP1/RNB1KBNR w:g6g7
Move:1Q5r/2pn2P1/2k1p3/5p1p/3Q2b1/2P5/2P1PPP1/RNB1KBNR b:h8h6
Move:1Q6/2pn2P1/2k1p2r/5p1p/3Q2b1/2P5/2P1PPP1/RNB1KBNR w:g7g8
Move:1Q4Q1/2pn4/2k1p2r/5p1p/3Q2b1/2P5/2P1PPP1/RNB1KBNR b:h6h7
Move:1Q4Q1/2pn3r/2k1p3/5p1p/3Q2b1/2P5/2P1PPP1/RNB1KBNR w:g8h7
Move:1Q6/2pn3Q/2k1p3/5p1p/3Q2b1/2P5/2P1PPP1/RNB1KBNR b:d7c5
Move:1Q6/2p4Q/2k1p3/2n2p1p/3Q2b1/2P5/2P1PPP1/RNB1KBNR w:b8c7
Move:8/2Q4Q/2k1p3/2n2p1p/3Q2b1/2P5/2P1PPP1/RNB1KBNR b:c6b5
Move:8/2Q4Q/4p3/1kn2p1p/3Q2b1/2P5/2P1PPP1/RNB1KBNR w:f2f3
Move:8/2Q4Q/4p3/1kn2p1p/3Q2b1/2P2P2/2P1P1P1/RNB1KBNR b:f5f4
Move:8/2Q4Q/4p3/1kn4p/3Q1pb1/2P2P2/2P1P1P1/RNB1KBNR w:f3g4
Move:8/2Q4Q/4p3/1kn4p/3Q1pP1/2P5/2P1P1P1/RNB1KBNR b:c5d7
Move:8/2Qn3Q/4p3/1k5p/3Q1pP1/2P5/2P1P1P1/RNB1KBNR w:c7d7
